gen,solo,bail,loyal,pay_solo,pay_bail,pay_loyal
86,0.0461,0.9539,0.0000,0.6213,0.6467,0.0236
87,0.0444,0.9556,0.0000,0.6211,0.6466,0.0235
88,0.0427,0.9573,0.0000,0.6210,0.6465,0.0234
89,0.0411,0.9589,0.0000,0.6208,0.6464,0.0233
90,0.0395,0.9605,0.0000,0.6207,0.6463,0.0232
91,0.0380,0.9620,0.0000,0.6205,0.6462,0.0231
92,0.0366,0.9634,0.0000,0.6204,0.6460,0.0230
93,0.0352,0.9648,0.0000,0.6203,0.6459,0.0230
94,0.0338,0.9662,0.0000,0.6202,0.6458,0.0229
95,0.0325,0.9675,0.0000,0.6200,0.6457,0.0228
96,0.0313,0.9687,0.0000,0.6199,0.6456,0.0227
97,0.0301,0.9699,0.0000,0.6198,0.6456,0.0227
98,0.0289,0.9711,0.0000,0.6197,0.6455,0.0226
99,0.0278,0.9722,0.0000,0.6196,0.6454,0.0225
100,0.0267,0.9733,0.0000,0.6195,0.6453,0.0225
101,0.0256,0.9744,0.0000,0.6194,0.6452,0.0224
102,0.0246,0.9754,0.0000,0.6193,0.6452,0.0223
103,0.0237,0.9763,0.0000,0.6192,0.6451,0.0223
104,0.0227,0.9773,0.0000,0.6191,0.6450,0.0222
105,0.0219,0.9781,0.0000,0.6190,0.6449,0.0222
106,0.0210,0.9790,0.0000,0.6189,0.6449,0.0221
107,0.0202,0.9798,0.0000,0.6188,0.6448,0.0221
108,0.0194,0.9806,0.0000,0.6188,0.6447,0.0220
109,0.0186,0.9814,0.0000,0.6187,0.6447,0.0220
110,0.0179,0.9821,0.0000,0.6186,0.6446,0.0220
111,0.0172,0.9828,0.0000,0.6185,0.6446,0.0219
112,0.0165,0.9835,0.0000,0.6185,0.6445,0.0219
113,0.0158,0.9842,0.0000,0.6184,0.6445,0.0219
114,0.0152,0.9848,0.0000,0.6183,0.6444,0.0218
115,0.0146,0.9854,0.0000,0.6183,0.6444,0.0218
116,0.0140,0.9860,0.0000,0.6182,0.6443,0.0218
117,0.0134,0.9866,0.0000,0.6181,0.6443,0.0217
118,0.0129,0.9871,0.0000,0.6181,0.6442,0.0217
119,0.0124,0.9876,0.0000,0.6180,0.6442,0.0217
120,0.0119,0.9881,0.0000,0.6180,0.6442,0.0216
121,0.0114,0.9886,0.0000,0.6179,0.6441,0.0216
122,0.0109,0.9891,0.0000,0.6179,0.6441,0.0216
