kind,seats,n_solo,n_bail,n_loyal,n_kidnap,n_rammer,finished_early,length,avg_group,merges,leaves,spills,banks,group_banks,alliances,alliance_dur,alliances_long,solo_prog,solo_se,solo_win,bail_prog,bail_se,bail_win,loyal_prog,loyal_se,loyal_win,kidnap_prog,kidnap_se,kidnap_win,rammer_prog,rammer_se,rammer_win
comp,"solo,solo,solo,solo,bail,bail",4,2,0,0,0,0.0,239.99999999998894,1.0332291666666649,2.5625,2.4375,3.0,24.875,0.0,2.5625,8.725037037036543,1.0625,0.638868923611105,0.018865666295954327,0.09375,0.6902213889431424,0.021502586762991792,0.3125,,,,,,,,,
comp,"solo,solo,solo,solo,solo,loyal",5,0,1,0,0,0.0,239.99999999998894,1.0,0.0,0.0,2.625,17.6875,0.0,0.0,0.0,0.0,0.6516499999999933,0.013941995247506273,0.2,,,,0.5815555555555492,0.03626318867502775,0.0,,,,,,
comp,"solo,solo,solo,solo,solo,bail",5,1,0,0,0,0.0,239.99999999998894,1.0,0.0,0.0,2.9375,21.625,0.0,0.0,0.0,0.0,0.6443847222222157,0.013419657050187812,0.15,0.6248368055555555,0.02855437716834259,0.25,,,,,,,,,
comp,"solo,solo,solo,solo,solo,solo",6,0,0,0,0,0.0,239.99999999998894,1.0,0.0,0.0,3.0,18.125,0.0,0.0,0.0,0.0,0.6442586805555491,0.01043356515013349,0.16666666666666666,,,,,,,,,,,,
inv1,"kidnap,solo,solo,solo,solo,solo",5,0,0,1,0,0.0,239.99999999998894,1.0,0.0,0.0,3.375,19.4375,0.0,0.0,0.0,0.0,0.6509236111111045,0.01129133730898681,0.1375,,,,,,,0.6436944444444398,0.03942941647735615,0.3125,,,
inv1,"kidnap,bail,bail,bail,bail,bail",0,5,0,1,0,0.0625,239.7291666666556,1.4828436881537985,14.1875,12.6875,2.1875,31.8125,3.9375,17.1875,21.82976537015052,6.625,,,,0.6342490058874114,0.014944322469197678,0.2,,,,0.20869970216674122,0.05148311539904999,0.0,,,
inv1,"kidnap,loyal,loyal,loyal,loyal,loyal",0,0,5,1,0,0.25,232.12291666665607,3.0144964122137705,4.4375,0.0,0.0,101.75,101.625,10.3125,152.33664682538893,9.75,,,,,,,0.6723033391203692,0.021169416533407804,0.1875,0.4682859374999999,0.0627677345710426,0.0625,,,
inv1,"rammer,solo,solo,solo,solo,solo",5,0,0,0,1,0.0,239.99999999998894,1.0,0.0,0.0,11.375,19.0625,0.0,0.0,0.0,0.0,0.6285868055555495,0.014895649833757357,0.1875,,,,,,,,,,0.5124166666666669,0.02419419143465958,0.0625
inv1,"rammer,bail,bail,bail,bail,bail",0,5,0,0,1,0.0625,239.33333333332232,1.2131518060399067,15.0,13.75,10.5625,44.3125,10.8125,17.625,8.82205467686504,6.5625,,,,0.6722495516068536,0.01095925433626098,0.2,,,,,,,0.49821180555555583,0.02116799003029296,0.0
inv1,"rammer,loyal,loyal,loyal,loyal,loyal",0,0,5,0,1,0.3125,228.70416666665625,2.7495894636068083,3.9375,0.0,7.875,100.625,96.9375,9.625,128.50687499999316,9.625,,,,,,,0.7703067592592584,0.014637656159491733,0.2,,,,0.44205902777777806,0.025972661646485713,0.0
inv2,"kidnap,rammer,solo,solo,solo,solo",4,0,0,1,1,0.0,239.99999999998894,1.0,0.0,0.0,10.0,20.5625,0.0,0.0,0.0,0.0,0.6267499999999937,0.01062755756255269,0.171875,,,,,,,0.6346388888888848,0.03837849392949479,0.25,0.5127430555555558,0.026949407654281863,0.0625
inv2,"kidnap,rammer,bail,bail,bail,bail",0,4,0,1,1,0.0,239.99999999998894,1.4364062499999952,18.0,16.375,14.3125,77.5,52.375,22.5625,14.395522438107768,10.0625,,,,0.651617141736916,0.018862343888677895,0.171875,,,,0.6237904297912751,0.06211787855437593,0.3125,0.4548055555555558,0.022736996577703176,0.0
inv2,"kidnap,rammer,loyal,loyal,loyal,loyal",0,0,4,1,1,0.375,229.58541666665622,2.5452374203964574,3.625,0.0,9.625,100.125,96.9375,7.75,151.0364583333257,7.75,,,,,,,0.7072828993055553,0.021940098282445548,0.203125,0.5975847222222136,0.06205601294738968,0.1875,0.44600694444444466,0.03133299139350787,0.0
