update,samples,time,sps,policy_prog,bot_prog,snap_prog,policy_win,bot_win,snap_win,early_finish,length,avg_group,alliances,alliance_dur,alliances_long,group_banks,remerge_fast,merges,leaves,spills,banks,ent_move,ent_join,ent_leave,ent_intent,p_join_solo,p_join_grouped,p_leave_grouped,p_intent_change,ev,vloss,ploss,kl,epochs_run
369,9211077,2459,3380,0.6,0.514,0.72,0.6,1.0,3.0,0.0,240.0,1.68,43.0,11.4,9.3,8.7,0.0,29.7,27.7,20.3,39.7,0.852,0.645,0.107,0.954,0.673,0.513,0.114,0.801,0.901,0.0091,-0.0037,0.0103,3
370,9235074,2466,3288,0.611,0.717,0.579,0.43,1.71,1.33,0.2,237.3,1.47,37.0,9.7,8.8,6.0,0.0,28.0,26.0,22.6,41.2,0.857,0.643,0.112,0.98,0.66,0.514,0.141,0.809,0.881,0.0153,-0.0037,0.009,3
371,9259121,2473,3294,0.657,0.578,0.575,0.0,2.18,0.86,0.0,240.0,1.42,30.4,10.7,8.8,24.2,0.0,23.8,22.8,16.8,63.6,0.842,0.644,0.116,1.024,0.666,0.515,0.165,0.799,0.971,0.0095,-0.0073,0.0087,3
372,9283539,2481,3396,0.776,0.766,0.562,1.0,3.0,0.0,0.33,232.6,1.35,31.7,7.5,9.7,0.3,0.0,25.3,24.7,21.3,40.3,0.818,0.65,0.113,1.042,0.652,0.487,0.182,0.81,0.958,0.0117,-0.004,0.0099,3
373,9308385,2488,3435,0.621,0.387,0.624,1.2,0.75,0.86,0.07,238.3,1.46,40.1,10.2,8.1,12.0,0.0,32.2,31.1,29.1,54.8,0.802,0.656,0.116,1.044,0.641,0.481,0.209,0.803,0.709,0.076,-0.0009,0.0121,3
374,9333669,2495,3318,0.618,0.427,0.63,1.07,0.81,1.06,0.04,238.9,1.42,36.0,17.3,8.1,8.7,0.0,28.3,27.0,25.2,48.9,0.824,0.653,0.102,1.087,0.63,0.48,0.181,0.798,0.779,0.0753,-0.0021,0.0144,3
375,9359063,2503,3335,0.622,0.552,0.611,1.2,1.07,0.46,0.0,240.0,1.46,37.8,9.8,9.0,15.4,0.0,29.5,28.6,25.8,56.1,0.835,0.658,0.112,1.027,0.64,0.492,0.175,0.799,0.765,0.0863,-0.0026,0.011,3
376,9384059,2510,3420,0.611,0.46,0.637,1.07,0.71,1.17,0.0,240.0,1.49,39.5,10.0,10.1,10.8,0.0,30.8,29.4,26.1,50.7,0.825,0.657,0.101,1.023,0.637,0.484,0.133,0.802,0.266,0.1645,-0.0031,0.0118,3
377,9408955,2518,3445,,,,,,,,,,,,,,,,,,,0.821,0.649,0.106,0.981,0.638,0.469,0.123,0.818,0.932,0.0099,-0.0075,0.0082,3
378,9433851,2525,3268,,,,,,,,,,,,,,,,,,,0.824,0.648,0.095,1.019,0.645,0.488,0.119,0.803,0.939,0.0098,-0.0068,0.0109,3
379,9458747,2533,3338,,,,,,,,,,,,,,,,,,,0.813,0.639,0.099,0.996,0.647,0.474,0.122,0.815,0.944,0.0095,-0.0069,0.0103,3
380,9483643,2540,3519,,,,,,,,,,,,,,,,,,,0.816,0.64,0.108,0.96,0.665,0.494,0.118,0.806,0.95,0.0081,-0.0065,0.0092,3
381,9508539,2547,3445,,,,,,,,,,,,,,,,,,,0.829,0.635,0.097,1.036,0.674,0.523,0.13,0.81,0.949,0.0081,-0.0058,0.0095,3
382,9533435,2554,3429,,,,,,,,,,,,,,,,,,,0.831,0.633,0.09,0.967,0.672,0.498,0.09,0.817,0.959,0.0058,-0.0055,0.0088,3
383,9558331,2562,3415,,,,,,,,,,,,,,,,,,,0.814,0.631,0.099,0.986,0.68,0.507,0.122,0.828,0.946,0.0081,-0.0067,0.0082,3
384,9583227,2569,3427,,,,,,,,,,,,,,,,,,,0.809,0.63,0.091,0.946,0.687,0.51,0.097,0.826,0.957,0.006,-0.0067,0.0101,3
385,9608123,2576,3488,,,,,,,,,,,,,,,,,,,0.798,0.631,0.1,0.986,0.686,0.528,0.121,0.825,0.944,0.0081,-0.0047,0.0095,3
386,9633044,2583,3450,0.673,0.455,0.492,0.0,2.0,0.0,0.0,240.0,1.43,26.0,12.1,6.0,12.0,0.0,19.0,18.0,17.0,51.0,0.826,0.637,0.105,0.98,0.675,0.516,0.112,0.822,0.957,0.0064,-0.0056,0.0088,3
387,9658039,2591,3318,0.698,0.459,0.682,0.0,1.2,1.2,0.0,240.0,1.44,27.5,11.9,5.5,6.5,0.0,23.0,20.5,15.5,39.0,0.814,0.638,0.11,0.989,0.672,0.519,0.138,0.835,0.951,0.0081,-0.0051,0.0093,3
388,9683198,2599,3275,0.647,0.837,0.641,1.0,0.0,1.2,0.0,240.0,1.38,29.0,9.4,12.0,1.0,0.0,24.0,22.0,20.0,47.0,0.832,0.636,0.108,1.001,0.683,0.529,0.153,0.837,0.814,0.0179,-0.005,0.01,3
389,9708492,2606,3350,0.681,0.689,0.676,0.71,1.8,0.67,0.0,240.0,1.47,42.0,8.6,12.2,2.5,0.0,31.8,30.8,24.8,49.8,0.839,0.646,0.117,1.002,0.657,0.495,0.17,0.842,0.809,0.023,-0.0033,0.0103,3
390,9733940,2614,3386,0.651,0.578,0.61,0.86,1.2,1.2,0.0,240.0,1.43,44.5,7.0,11.2,2.5,0.0,35.5,34.8,28.0,45.5,0.825,0.651,0.141,0.927,0.659,0.494,0.166,0.829,0.903,0.02,-0.0009,0.0115,3
391,9758924,2621,3452,0.699,0.309,0.72,1.33,0.0,0.0,0.0,240.0,1.51,44.0,9.3,10.8,17.2,0.0,33.5,32.8,29.5,67.5,0.785,0.644,0.134,0.998,0.664,0.491,0.195,0.825,0.791,0.0409,-0.0013,0.0116,3
392,9783363,2628,3398,0.65,0.597,0.571,1.0,1.66,0.49,0.04,238.8,1.44,38.7,8.4,10.5,5.4,0.0,30.1,28.9,25.0,50.6,0.785,0.642,0.133,1.021,0.665,0.511,0.22,0.835,0.653,0.1041,-0.0031,0.0118,3
393,9807513,2635,3301,0.651,0.497,0.621,1.09,0.96,0.86,0.0,240.0,1.41,37.8,8.0,10.0,5.5,0.0,30.0,29.0,25.3,51.0,0.797,0.643,0.119,1.054,0.671,0.524,0.194,0.827,0.772,0.088,-0.0025,0.0116,3
394,9831792,2643,3324,0.642,0.433,0.622,1.12,0.84,0.92,0.0,240.0,1.5,39.4,10.0,10.5,12.9,0.0,30.6,29.4,24.4,54.8,0.777,0.645,0.117,1.036,0.655,0.505,0.188,0.844,0.468,0.298,-0.0043,0.0095,3
395,9856944,2650,3511,,,,,,,,,,,,,,,,,,,0.783,0.654,0.096,1.097,0.631,0.509,0.133,0.824,0.948,0.0078,-0.0054,0.0095,3
396,9882096,2658,3329,,,,,,,,,,,,,,,,,,,0.773,0.651,0.104,1.011,0.64,0.515,0.122,0.832,0.944,0.0109,-0.0065,0.0098,3
397,9907248,2665,3451,,,,,,,,,,,,,,,,,,,0.768,0.639,0.105,1.008,0.662,0.517,0.137,0.827,0.953,0.01,-0.0064,0.0096,3
398,9932400,2672,3414,,,,,,,,,,,,,,,,,,,0.772,0.642,0.111,1.001,0.666,0.559,0.136,0.828,0.957,0.009,-0.0056,0.0097,3
399,9957552,2679,3512,,,,,,,,,,,,,,,,,,,0.742,0.641,0.093,1.021,0.663,0.551,0.131,0.819,0.953,0.0103,-0.0064,0.0088,3
400,9982704,2687,3458,,,,,,,,,,,,,,,,,,,0.736,0.634,0.096,0.979,0.675,0.542,0.126,0.83,0.957,0.0089,-0.0064,0.0093,3
401,10007856,2694,3470,,,,,,,,,,,,,,,,,,,0.748,0.64,0.102,0.971,0.668,0.536,0.109,0.817,0.96,0.008,-0.0072,0.0095,3
402,10033008,2702,3261,,,,,,,,,,,,,,,,,,,0.765,0.634,0.091,1.014,0.671,0.536,0.107,0.838,0.964,0.0076,-0.0057,0.0093,3
403,10058160,2709,3527,,,,,,,,,,,,,,,,,,,0.773,0.643,0.105,0.912,0.674,0.527,0.102,0.826,0.965,0.0069,-0.0064,0.0096,3
404,10083312,2716,3396,,,,,,,,,,,,,,,,,,,0.785,0.642,0.1,0.965,0.671,0.534,0.124,0.827,0.958,0.0079,-0.0043,0.01,3
405,10108423,2724,3334,0.758,0.0,0.642,2.0,0.0,0.0,0.0,240.0,1.62,68.0,6.5,11.0,1.0,0.0,46.0,43.0,29.0,47.0,0.794,0.645,0.104,0.937,0.676,0.533,0.115,0.832,0.859,0.0132,0.0017,0.0113,3
406,10133455,2731,3383,0.606,0.575,0.619,1.2,1.2,0.0,0.0,240.0,1.78,34.5,18.5,13.0,41.0,0.0,24.0,22.0,13.0,83.5,0.816,0.646,0.111,0.988,0.66,0.533,0.135,0.83,0.846,0.0169,-0.0021,0.0116,3
407,10158415,2739,3378,0.697,0.536,0.476,1.38,0.75,0.0,0.0,240.0,1.47,37.8,9.6,9.5,11.5,0.0,27.0,25.5,21.5,50.5,0.808,0.641,0.103,1.025,0.661,0.558,0.155,0.827,0.697,0.0318,-0.0021,0.0102,3
408,10183176,2746,3211,0.686,0.392,0.572,1.2,1.2,0.0,0.0,240.0,1.54,51.0,8.1,11.2,1.6,0.0,38.2,36.4,30.2,52.8,0.789,0.651,0.107,0.971,0.658,0.528,0.131,0.823,0.747,0.0378,0.0005,0.0147,3
409,10207850,2754,3284,0.561,0.473,0.64,0.0,0.75,1.8,0.0,240.0,1.34,25.2,9.9,8.8,8.5,0.0,21.8,20.5,14.8,45.2,0.782,0.649,0.114,0.933,0.647,0.512,0.141,0.821,0.975,0.0112,-0.0006,0.0112,3
410,10232813,2761,3311,0.665,0.433,0.738,0.6,1.2,1.5,0.14,239.4,1.44,39.6,8.3,9.0,6.7,0.0,30.4,28.7,20.1,56.6,0.748,0.648,0.118,0.916,0.651,0.501,0.141,0.829,0.883,0.0273,-0.0026,0.0103,3
411,10258145,2769,3299,0.672,0.467,0.611,1.52,0.56,0.52,0.07,239.5,1.39,35.1,8.4,9.3,4.8,0.0,28.0,26.8,21.2,48.9,0.772,0.655,0.121,0.922,0.643,0.49,0.146,0.824,0.612,0.1509,-0.0009,0.0141,3
412,10283968,2776,3526,0.674,0.639,0.587,0.89,2.18,0.0,0.0,240.0,1.49,38.9,9.6,10.8,11.1,0.0,29.1,28.1,22.9,61.1,0.787,0.654,0.12,0.917,0.628,0.477,0.134,0.822,0.826,0.071,-0.0009,0.0145,3
413,10309351,2784,3321,0.679,0.504,0.603,1.1,0.95,0.84,0.02,240.0,1.46,40.0,9.5,9.6,8.4,0.0,31.1,30.1,24.6,55.5,0.809,0.658,0.112,0.989,0.642,0.481,0.137,0.797,0.453,0.2699,-0.0037,0.0085,3
414,10334503,2792,3374,,,,,,,,,,,,,,,,,,,0.778,0.658,0.108,0.972,0.622,0.469,0.114,0.781,0.949,0.0079,-0.0071,0.0097,3
415,10359655,2799,3383,,,,,,,,,,,,,,,,,,,0.786,0.648,0.113,0.963,0.612,0.453,0.123,0.789,0.949,0.0096,-0.0058,0.0093,3
416,10384807,2806,3434,,,,,,,,,,,,,,,,,,,0.775,0.65,0.093,1.016,0.628,0.463,0.125,0.799,0.942,0.0107,-0.0052,0.0106,3
417,10409959,2814,3430,,,,,,,,,,,,,,,,,,,0.799,0.654,0.102,0.942,0.649,0.502,0.111,0.79,0.949,0.0084,-0.005,0.0104,3
418,10435111,2821,3443,,,,,,,,,,,,,,,,,,,0.772,0.638,0.105,0.935,0.653,0.475,0.11,0.795,0.941,0.0101,-0.006,0.0088,3
419,10460263,2829,3380,,,,,,,,,,,,,,,,,,,0.783,0.648,0.107,0.895,0.649,0.506,0.101,0.805,0.954,0.0078,-0.0058,0.0115,3
420,10485415,2836,3418,,,,,,,,,,,,,,,,,,,0.779,0.647,0.11,0.884,0.651,0.503,0.104,0.804,0.954,0.0081,-0.0053,0.0101,3
421,10510567,2843,3411,,,,,,,,,,,,,,,,,,,0.769,0.644,0.105,0.965,0.639,0.491,0.124,0.796,0.958,0.0068,-0.0072,0.0086,3
422,10535719,2851,3441,,,,,,,,,,,,,,,,,,,0.772,0.648,0.12,0.877,0.645,0.517,0.099,0.798,0.962,0.0066,-0.0062,0.0075,3
423,10560871,2858,3459,,,,,,,,,,,,,,,,,,,0.768,0.645,0.116,0.963,0.633,0.494,0.146,0.8,0.956,0.0078,-0.008,0.0089,3
424,10586080,2865,3407,0.605,0.476,0.392,3.0,0.0,0.0,0.0,240.0,1.15,16.0,6.5,3.0,1.0,0.0,16.0,15.0,8.0,42.0,0.791,0.652,0.104,1.021,0.634,0.491,0.131,0.786,0.899,0.0089,-0.004,0.0086,3
425,10611428,2873,3390,0.769,0.582,0.609,2.0,1.2,0.0,0.0,240.0,1.24,19.5,9.4,6.5,2.5,0.0,18.0,17.0,19.5,43.0,0.776,0.645,0.118,0.984,0.649,0.498,0.141,0.774,0.853,0.0135,-0.001,0.01,3
426,10636947,2880,3546,0.729,0.541,0.653,1.29,1.5,0.0,0.0,240.0,1.5,45.8,8.6,11.5,17.2,0.0,32.2,30.8,23.8,71.2,0.767,0.646,0.113,1.001,0.648,0.504,0.148,0.757,0.76,0.0252,0.0011,0.0144,3
427,10663016,2888,3498,0.668,0.478,0.608,0.43,2.25,0.86,0.0,240.0,1.47,31.5,11.5,12.2,21.0,0.0,25.3,24.2,16.0,67.2,0.745,0.651,0.127,0.979,0.644,0.51,0.153,0.76,0.914,0.0159,-0.0027,0.0093,3
428,10689251,2895,3576,0.596,0.461,0.605,0.6,3.0,1.0,0.0,240.0,1.33,39.0,6.2,7.0,3.3,0.0,32.7,32.0,28.0,58.7,0.735,0.645,0.131,0.989,0.635,0.476,0.179,0.774,0.933,0.0153,-0.0031,0.0106,3
429,10715302,2902,3646,0.678,0.422,0.674,1.0,0.46,1.3,0.08,238.9,1.48,47.8,7.2,9.2,8.4,0.0,36.4,35.3,28.8,55.8,0.71,0.641,0.133,1.009,0.639,0.472,0.204,0.796,0.767,0.0536,-0.0011,0.0147,3
430,10741111,2909,3611,0.661,0.511,0.565,1.33,0.64,0.38,0.0,240.0,1.49,43.8,8.7,11.5,4.3,0.0,33.2,31.7,26.8,51.8,0.742,0.652,0.129,1.033,0.644,0.508,0.18,0.782,0.598,0.1385,-0.0003,0.0115,3
431,10766664,2916,3543,0.648,0.528,0.615,0.84,1.27,1.03,0.05,239.3,1.38,39.3,7.3,8.7,3.9,0.0,31.5,30.4,27.9,51.9,0.744,0.647,0.131,1.02,0.623,0.484,0.19,0.778,0.8,0.0753,-0.0031,0.011,3
432,10792374,2924,3617,0.65,0.485,0.623,1.09,0.94,0.89,0.0,240.0,1.47,37.5,10.1,9.2,9.9,0.0,29.4,28.4,24.8,55.2,0.783,0.653,0.112,1.054,0.629,0.521,0.152,0.784,0.375,0.2149,-0.0036,0.0095,3
433,10818166,2931,3640,,,,,,,,,,,,,,,,,,,0.784,0.656,0.123,0.978,0.627,0.513,0.149,0.788,0.937,0.0079,-0.007,0.0098,3
434,10843958,2938,3583,,,,,,,,,,,,,,,,,,,0.791,0.656,0.12,1.003,0.629,0.512,0.142,0.801,0.949,0.0075,-0.0074,0.0085,3
435,10869750,2945,3615,,,,,,,,,,,,,,,,,,,0.772,0.652,0.111,1.023,0.637,0.517,0.162,0.795,0.942,0.0091,-0.0053,0.0104,3
436,10895542,2952,3572,,,,,,,,,,,,,,,,,,,0.786,0.652,0.108,0.986,0.639,0.521,0.128,0.794,0.957,0.0068,-0.006,0.0098,3
437,10921334,2960,3468,,,,,,,,,,,,,,,,,,,0.801,0.656,0.11,0.971,0.631,0.518,0.137,0.799,0.957,0.0071,-0.0077,0.0095,3
438,10947126,2967,3468,,,,,,,,,,,,,,,,,,,0.79,0.653,0.099,0.998,0.635,0.505,0.128,0.789,0.957,0.0073,-0.0066,0.0097,3
439,10972918,2975,3438,,,,,,,,,,,,,,,,,,,0.805,0.654,0.105,0.976,0.638,0.512,0.121,0.786,0.962,0.0066,-0.0059,0.0092,3
440,10998710,2982,3522,,,,,,,,,,,,,,,,,,,0.779,0.648,0.115,0.967,0.63,0.494,0.125,0.793,0.951,0.0082,-0.006,0.0094,3
441,11024502,2989,3487,,,,,,,,,,,,,,,,,,,0.78,0.65,0.112,0.947,0.652,0.517,0.123,0.782,0.966,0.006,-0.0065,0.0093,3
442,11050312,2997,3341,0.585,0.0,0.432,2.0,0.0,0.0,0.0,240.0,1.4,55.0,5.2,8.0,0.0,0.0,43.0,42.0,41.0,39.0,0.737,0.645,0.116,0.932,0.658,0.498,0.126,0.776,0.825,0.0147,-0.0008,0.0094,3
443,11076232,3005,3510,,,,,,,,,,,,,,,,,,,0.749,0.645,0.118,0.909,0.66,0.512,0.131,0.777,0.963,0.0072,-0.006,0.0079,3
444,11102329,3012,3549,0.724,0.53,0.682,1.33,0.86,0.0,0.0,240.0,1.43,33.7,9.2,8.3,19.7,0.0,26.0,25.3,16.0,71.0,0.768,0.655,0.13,0.929,0.651,0.507,0.139,0.776,0.84,0.016,0.002,0.0086,3
445,11128038,3019,3622,0.652,0.247,0.627,1.09,0.0,1.0,0.0,240.0,1.62,55.6,7.6,13.6,0.6,0.0,40.8,40.0,34.4,52.4,0.76,0.664,0.11,0.999,0.615,0.49,0.147,0.784,0.734,0.0332,-0.0029,0.0101,3
446,11153364,3026,3588,0.664,0.22,0.627,1.2,0.0,0.86,0.0,240.0,1.65,56.2,9.0,17.8,4.8,0.0,39.4,38.2,31.2,55.8,0.745,0.668,0.127,0.938,0.594,0.466,0.133,0.786,0.801,0.0308,0.0004,0.0142,3
447,11178635,3033,3621,0.723,0.879,0.591,0.6,3.0,0.0,0.0,240.0,1.63,30.7,14.2,11.7,6.3,0.0,23.0,21.7,22.0,56.0,0.707,0.666,0.123,0.94,0.581,0.45,0.159,0.789,0.931,0.0157,-0.0013,0.01,3
448,11203746,3040,3440,0.659,0.542,0.647,0.73,1.09,1.38,0.11,237.9,1.39,39.2,7.1,8.0,4.4,0.0,30.5,29.7,26.8,49.2,0.726,0.666,0.123,1.0,0.578,0.445,0.157,0.794,0.814,0.0507,-0.0026,0.0114,3
449,11228443,3048,3302,0.646,0.49,0.594,0.83,1.2,1.2,0.0,240.0,1.47,42.9,8.6,9.3,10.5,0.0,33.0,31.7,26.3,55.3,0.77,0.669,0.122,1.023,0.583,0.461,0.174,0.807,0.819,0.0638,-0.0009,0.0167,3
450,11253437,3055,3441,0.646,0.465,0.643,1.16,0.83,0.86,0.0,240.0,1.46,41.9,8.1,9.1,11.4,0.0,32.1,30.9,27.2,60.3,0.765,0.671,0.126,1.013,0.578,0.461,0.172,0.789,0.809,0.0744,-0.0015,0.0127,3
451,11278803,3063,3243,0.669,0.403,0.602,1.34,0.58,0.69,0.0,240.0,1.48,42.7,8.7,10.8,5.2,0.0,32.6,31.3,26.2,50.9,0.816,0.67,0.112,1.022,0.588,0.477,0.136,0.775,0.182,0.1868,-0.005,0.0083,3
452,11304147,3071,3294,,,,,,,,,,,,,,,,,,,0.828,0.672,0.123,0.973,0.576,0.477,0.135,0.783,0.938,0.0091,-0.0061,0.0093,3
453,11329491,3079,3157,,,,,,,,,,,,,,,,,,,0.811,0.67,0.114,1.002,0.578,0.464,0.146,0.796,0.951,0.008,-0.0053,0.0088,3
454,11354835,3087,3271,,,,,,,,,,,,,,,,,,,0.816,0.67,0.104,0.996,0.576,0.481,0.121,0.79,0.963,0.0068,-0.0068,0.0097,3
455,11380179,3094,3250,,,,,,,,,,,,,,,,,,,0.806,0.663,0.11,0.966,0.571,0.464,0.122,0.792,0.956,0.0086,-0.0054,0.0098,3
456,11405523,3102,3261,,,,,,,,,,,,,,,,,,,0.813,0.668,0.095,0.999,0.578,0.476,0.108,0.782,0.96,0.0073,-0.006,0.0087,3
457,11430867,3110,3091,,,,,,,,,,,,,,,,,,,0.827,0.669,0.113,0.951,0.561,0.47,0.119,0.799,0.969,0.0064,-0.0055,0.0097,3
458,11456211,3118,3236,,,,,,,,,,,,,,,,,,,0.855,0.671,0.108,0.941,0.568,0.488,0.105,0.805,0.968,0.0063,-0.0053,0.0086,3
459,11481555,3126,3395,,,,,,,,,,,,,,,,,,,0.823,0.672,0.117,0.903,0.564,0.485,0.114,0.8,0.96,0.0076,-0.0064,0.0095,3
460,11506899,3133,3307,,,,,,,,,,,,,,,,,,,0.81,0.667,0.105,0.988,0.56,0.487,0.114,0.812,0.963,0.0066,-0.0055,0.0092,3
461,11532218,3141,3299,0.685,0.814,0.426,0.75,2.0,0.0,0.5,204.6,1.54,31.5,12.3,11.0,4.0,0.0,25.0,24.5,17.0,47.0,0.818,0.664,0.105,1.008,0.557,0.47,0.119,0.802,0.837,0.0147,0.001,0.0092,3
462,11557552,3149,3299,0.74,0.245,0.722,1.33,0.0,0.0,0.0,240.0,1.44,57.5,6.1,8.5,2.5,0.0,46.5,44.5,51.0,65.5,0.806,0.666,0.114,1.017,0.557,0.467,0.127,0.819,0.748,0.0231,-0.001,0.0097,3
463,11582862,3157,3253,0.743,0.0,0.644,2.4,0.0,0.0,0.0,240.0,1.62,62.0,7.1,18.0,1.5,0.0,46.0,44.5,37.5,52.0,0.813,0.668,0.121,1.04,0.555,0.484,0.155,0.813,0.807,0.022,-0.001,0.0107,3
464,11608410,3164,3257,0.709,0.445,0.621,0.71,3.0,0.46,0.0,240.0,1.41,44.8,6.9,9.0,1.8,0.0,34.8,33.5,29.3,55.0,0.801,0.671,0.121,1.081,0.56,0.499,0.166,0.807,0.847,0.023,-0.0026,0.0101,3
465,11633838,3172,3367,0.64,0.549,0.556,1.5,1.2,0.0,0.0,240.0,1.3,27.2,7.3,7.5,1.8,0.0,22.2,21.5,23.5,43.2,0.796,0.669,0.111,1.116,0.553,0.475,0.184,0.806,0.868,0.0228,-0.0014,0.0104,3
466,11659295,3179,3407,0.702,0.44,0.595,1.5,0.71,0.67,0.0,240.0,1.36,30.7,15.2,4.4,8.0,0.0,25.7,24.9,25.9,47.9,0.738,0.67,0.125,1.085,0.551,0.475,0.206,0.812,0.827,0.0362,-0.0002,0.0111,3
467,11685158,3187,3367,0.66,0.442,0.578,1.09,1.03,0.81,0.0,240.0,1.43,42.2,8.3,8.6,10.0,0.0,33.1,32.1,30.2,56.2,0.762,0.67,0.126,1.056,0.549,0.451,0.176,0.795,0.702,0.0959,-0.002,0.0136,3
468,11710860,3195,3431,0.656,0.583,0.644,1.27,0.77,0.62,0.05,239.0,1.44,39.3,8.6,9.3,5.0,0.0,29.8,28.7,26.5,49.7,0.759,0.67,0.117,1.068,0.564,0.47,0.173,0.807,0.747,0.1001,-0.0037,0.0106,3
469,11735832,3202,3549,0.662,0.573,0.611,1.07,1.12,0.68,0.0,240.0,1.43,40.0,8.1,8.9,4.9,0.0,30.7,29.5,28.3,51.2,0.781,0.669,0.127,1.001,0.584,0.477,0.155,0.805,0.498,0.2774,-0.0023,0.0092,3
470,11760152,3209,3424,,,,,,,,,,,,,,,,,,,0.822,0.67,0.108,1.05,0.567,0.481,0.141,0.801,0.953,0.0069,-0.0083,0.0091,3
471,11784472,3216,3341,,,,,,,,,,,,,,,,,,,0.84,0.668,0.106,1.023,0.551,0.476,0.12,0.812,0.953,0.0081,-0.0072,0.0101,3
472,11808792,3223,3411,,,,,,,,,,,,,,,,,,,0.81,0.665,0.113,0.955,0.567,0.496,0.129,0.809,0.956,0.0083,-0.0062,0.0094,3
473,11833112,3231,3356,,,,,,,,,,,,,,,,,,,0.821,0.657,0.097,0.999,0.57,0.526,0.113,0.807,0.959,0.008,-0.0049,0.01,3
474,11857432,3238,3306,,,,,,,,,,,,,,,,,,,0.831,0.657,0.102,0.94,0.597,0.519,0.105,0.819,0.958,0.008,-0.007,0.0105,3
475,11881752,3245,3447,,,,,,,,,,,,,,,,,,,0.838,0.654,0.1,0.95,0.593,0.526,0.109,0.812,0.957,0.0084,-0.0073,0.0084,3
476,11906072,3252,3377,,,,,,,,,,,,,,,,,,,0.854,0.655,0.108,0.91,0.59,0.525,0.112,0.811,0.965,0.0069,-0.0064,0.0083,3
477,11930392,3260,3255,,,,,,,,,,,,,,,,,,,0.832,0.653,0.099,0.949,0.601,0.537,0.103,0.805,0.968,0.0065,-0.0059,0.0091,3
478,11954712,3267,3178,,,,,,,,,,,,,,,,,,,0.795,0.655,0.095,0.931,0.6,0.536,0.102,0.809,0.963,0.0073,-0.0066,0.009,3
479,11979032,3275,3275,,,,,,,,,,,,,,,,,,,0.806,0.653,0.101,0.889,0.606,0.532,0.104,0.794,0.963,0.0068,-0.0062,0.0088,3
480,12003263,3282,3343,0.736,0.706,0.561,0.0,4.0,0.0,0.0,240.0,1.38,41.5,6.6,9.0,0.0,0.0,32.5,31.5,35.0,51.0,0.804,0.657,0.101,0.908,0.593,0.521,0.111,0.787,0.954,0.0087,-0.0061,0.0079,3
481,12027244,3290,3235,0.7,0.62,0.666,1.5,0.0,0.0,0.0,240.0,1.76,56.0,9.8,21.5,1.5,0.0,37.0,35.5,26.0,52.0,0.823,0.653,0.101,0.938,0.613,0.536,0.114,0.78,0.769,0.0228,-0.0009,0.0106,3
482,12051100,3297,3110,0.644,0.462,0.541,1.29,0.0,1.2,0.0,240.0,1.56,47.2,9.0,10.2,32.8,0.0,35.0,34.0,32.0,79.2,0.826,0.658,0.109,0.906,0.604,0.548,0.107,0.794,0.718,0.0317,-0.001,0.011,3
483,12074877,3305,3152,0.625,0.631,0.575,0.86,1.5,0.75,0.0,240.0,1.35,31.6,7.8,9.0,0.2,0.0,25.6,24.8,26.8,46.0,0.798,0.664,0.097,0.972,0.597,0.514,0.122,0.792,0.852,0.0227,-0.0021,0.0098,3
484,12098867,3312,3221,0.724,0.48,0.639,1.0,0.75,1.5,0.0,240.0,1.57,39.0,11.1,14.0,2.0,0.0,28.2,27.0,25.5,44.5,0.807,0.67,0.11,0.909,0.555,0.486,0.106,0.776,0.878,0.0241,-0.0025,0.0081,3
485,12122789,3320,3254,0.626,0.545,0.566,1.0,1.5,0.0,0.09,238.5,1.35,28.5,9.5,6.6,13.1,0.0,23.4,22.4,22.4,55.5,0.748,0.669,0.117,0.849,0.543,0.47,0.11,0.795,0.784,0.0521,-0.003,0.012,3
486,12146504,3327,3323,0.675,0.476,0.619,1.14,1.0,0.78,0.0,240.0,1.44,39.5,8.7,9.9,6.7,0.0,30.8,29.4,26.8,55.1,0.751,0.667,0.12,0.871,0.57,0.483,0.108,0.81,0.689,0.1163,-0.0027,0.0107,3
487,12170220,3334,3298,0.687,0.554,0.631,1.2,0.94,0.69,0.0,240.0,1.48,36.8,10.6,9.9,13.6,0.0,27.7,26.4,21.4,62.3,0.761,0.664,0.127,0.863,0.582,0.497,0.134,0.806,0.794,0.0878,-0.0008,0.0106,3
488,12194053,3341,3224,0.674,0.475,0.646,1.13,0.43,1.41,0.0,240.0,1.52,39.3,11.8,9.9,11.8,0.0,29.9,28.5,24.8,57.0,0.79,0.668,0.108,0.934,0.592,0.508,0.112,0.808,0.453,0.2583,-0.0039,0.0081,3
489,12217157,3349,3184,,,,,,,,,,,,,,,,,,,0.844,0.666,0.119,0.801,0.605,0.521,0.103,0.807,0.944,0.0086,-0.008,0.0092,3
490,12240261,3356,3134,,,,,,,,,,,,,,,,,,,0.804,0.665,0.119,0.851,0.575,0.514,0.112,0.81,0.928,0.0133,-0.0071,0.0097,3
491,12263365,3364,3063,,,,,,,,,,,,,,,,,,,0.818,0.658,0.111,0.888,0.603,0.522,0.105,0.796,0.95,0.0091,-0.0067,0.0088,3
492,12286469,3371,3114,,,,,,,,,,,,,,,,,,,0.801,0.654,0.108,0.91,0.595,0.54,0.108,0.792,0.953,0.0084,-0.006,0.0082,3
493,12309573,3379,3065,,,,,,,,,,,,,,,,,,,0.807,0.654,0.116,0.846,0.616,0.55,0.103,0.797,0.954,0.008,-0.0062,0.0093,3
