update,samples,margin_bail,se_bail,margin_solo,se_solo,self_prog,bail_baseline,alliance_dur,alliances_long,spills,ram,clash,bump,p_join_solo,p_leave_grouped,warnings
50,999061,-0.05975079758199642,0.026230813115565892,0.008906823065929714,0.02305343164278921,0.634421034380601,0.6813823388561614,2.9517445956428667,0.1875,8.25,0,1,2,0.5886,0.2665,
100,1878797,0.052362267942999474,0.03023991245591924,0.042458007632093064,0.029200668746114173,0.6827696891396693,0.6813823388561614,8.496961569382744,6.5625,5.375,1,2,1,0.5196000000000002,0.08919999999999999,
150,2750123,0.05674133987239072,0.02881181108836843,0.021056791937940633,0.028752130187896123,0.6847746752001763,0.6813823388561614,11.084467010264287,9.75,4.8125,0,1,0,0.5360000000000001,0.06889999999999999,
200,3596569,0.04191967368643701,0.0317277886680089,0.02491980289412754,0.02489008661923031,0.6687002366100533,0.6813823388561614,8.790360399470583,6.375,5.625,1,4,6,0.5453,0.1117,
250,4419939,-0.011270595240289838,0.02970053655369541,0.026261120442353403,0.027647471744377344,0.6624970843653645,0.6813823388561614,9.908617907056279,8.0625,6.0,0,1,4,0.5254,0.09119999999999999,margin vs bail fell from best 0.06 to -0.01
300,5275093,-0.01710185858881874,0.02994357099387082,0.032007000360576576,0.02618229150302195,0.6705637972155145,0.6813823388561614,6.853637419648286,4.875,6.25,0,2,4,0.5339,0.1111,alliances last 6.9s; margin vs bail fell from best 0.06 to -0.02; alliance duration fell from best 11.1s to 6.9s
350,6116237,0.005005836403995989,0.03100709725193664,0.03982031757763538,0.02638661957275046,0.6415133551925872,0.6813823388561614,8.676461819101071,7.875,4.1875,0,0,1,0.5866,0.097,margin vs bail fell from best 0.06 to 0.01
