update,samples,margin_bail,se_bail,margin_solo,se_solo,self_prog,bail_baseline,alliance_dur,alliances_long,spills,ram,clash,bump,p_join_solo,p_leave_grouped,warnings
50,1403872,-0.031069956129955667,0.030018611463039174,-0.014162653313824047,0.030614749677472092,0.6516849043264105,0.6362404927956072,7.429469139936567,10.25,17.75,6,3,9,0.6548,0.1136,
100,2639117,-0.022909466223023256,0.026577461422310728,-0.02164947762950864,0.029397785818027274,0.6296790084534948,0.6362404927956072,6.85607198622337,9.625,20.1875,4,0,15,0.5892999999999999,0.1421,"15/19 spills are light bumps: movement tax, not ramming"
150,3876753,-0.0302179587002801,0.03591301795673452,-0.008570504404004642,0.028928380287486514,0.6373785929669329,0.6362404927956072,8.592181830522156,13.875,20.375,1,1,23,0.5557,0.11980000000000002,"23/25 spills are light bumps: movement tax, not ramming"
200,5105693,-0.0053792537128671825,0.030045409143851808,-0.06621534360574999,0.03018229415950739,0.6250491194724542,0.6362404927956072,10.026129245623999,17.6875,17.3125,4,2,12,0.5385,0.0744,"loses to solo by 0.07; 12/18 spills are light bumps: movement tax, not ramming"
250,6318689,-0.028058633237727948,0.03032405342111195,-0.061616557250066095,0.02637870272990149,0.5642533072703592,0.6362404927956072,11.644821004495757,18.875,19.875,3,0,11,0.5003,0.08979999999999999,"loses to solo by 0.06; self-play progress 0.56 below six-bail baseline 0.64: agents hurt each other; 11/14 spills are light bumps: movement tax, not ramming"
300,7540956,-0.08168595748394258,0.03224019716889518,-0.09501910976462513,0.03018756053109495,0.5350063983108123,0.6362404927956072,6.334363353561911,9.5,24.75,2,1,19,0.5378000000000001,0.1122,"loses to bail by 0.08; loses to solo by 0.10; self-play progress 0.54 below six-bail baseline 0.64: agents hurt each other; alliances last 6.3s; 19/22 spills are light bumps: movement tax, not ramming; margin vs bail fell from best -0.01 to -0.08; alliance duration fell from best 11.6s to 6.3s"
350,8755253,-0.07996995486005376,0.02916484692144531,-0.05771850973300707,0.03209068490510713,0.5510787032219086,0.6362404927956072,6.342898421391596,9.3125,20.5625,0,0,11,0.5925999999999999,0.15499999999999997,"loses to bail by 0.08; loses to solo by 0.06; self-play progress 0.55 below six-bail baseline 0.64: agents hurt each other; alliances last 6.3s; 11/11 spills are light bumps: movement tax, not ramming; margin vs bail fell from best -0.01 to -0.08; alliance duration fell from best 11.6s to 6.3s"
