update,samples,margin_bail,se_bail,margin_solo,se_solo,self_prog,bail_baseline,alliance_dur,alliances_long,spills,ram,clash,bump,p_join_solo,p_leave_grouped,warnings
50,1397593,0.06444882984088096,0.03453293708306028,0.17060507158081095,0.0396089299618061,0.735265654836804,0.6813823388561614,51.35606815418346,19.5625,7.1875,0,4,3,0.5627,0.0328,
100,2617459,0.10119563943544208,0.027356222162297737,0.1144881665430324,0.03703111048101109,0.697009781618925,0.6813823388561614,47.538556313445184,19.5625,7.6875,1,3,9,0.5589000000000001,0.04429999999999999,"9/13 spills are light bumps: movement tax, not ramming"
150,3839887,0.06478806870587639,0.029871631393848658,0.10128448452682359,0.034050062122890294,0.6860190642016238,0.6813823388561614,17.41025328645246,14.8125,18.8125,3,13,3,0.5626,0.07339999999999999,alliance duration fell from best 51.4s to 17.4s; spills rose from 7.2 to 18.8
200,5090016,-0.05639789603323264,0.02891488536142431,0.07586515295203156,0.03131650663788911,0.6490620954535109,0.6813823388561614,8.97515002414059,12.875,25.125,5,12,11,0.5207000000000002,0.1069,loses to bail by 0.06; margin vs bail fell from best 0.10 to -0.06; alliance duration fell from best 51.4s to 9.0s; spills rose from 7.2 to 25.1
250,6325529,0.01229028551279887,0.029658197382544094,0.03862764328779855,0.02674727579622216,0.6419648174206452,0.6813823388561614,5.960226545836422,7.4375,27.1875,1,11,24,0.506,0.14229999999999998,"alliances last 6.0s; 24/36 spills are light bumps: movement tax, not ramming; margin vs bail fell from best 0.10 to 0.01; alliance duration fell from best 51.4s to 6.0s; spills rose from 7.2 to 27.2"
300,7543150,-0.04787889833632486,0.03403535870489542,0.07996702555603818,0.02964909863467027,0.6244690802148866,0.6813823388561614,3.854551552658739,3.1875,29.125,8,11,11,0.5056,0.2165,loses to bail by 0.05; self-play progress 0.62 below six-bail baseline 0.68: agents hurt each other; alliances last 3.9s; margin vs bail fell from best 0.10 to -0.05; alliance duration fell from best 51.4s to 3.9s; spills rose from 7.2 to 29.1
350,8809467,0.011157656070669653,0.03493862302934485,0.05610799800130051,0.028271373158399334,0.6377225476505961,0.6813823388561614,4.677087692295347,4.0,26.4375,6,7,15,0.5199,0.16959999999999997,alliances last 4.7s; margin vs bail fell from best 0.10 to 0.01; alliance duration fell from best 51.4s to 4.7s; spills rose from 7.2 to 26.4
400,10064119,0.03984023345402243,0.02845910972817467,0.050249689306681056,0.036134216330572816,0.6770288840772705,0.6813823388561614,5.348692737026447,6.25,25.6875,3,12,12,0.4993,0.15889999999999999,alliances last 5.3s; margin vs bail fell from best 0.10 to 0.04; alliance duration fell from best 51.4s to 5.3s; spills rose from 7.2 to 25.7
450,11305534,0.005523155102802768,0.03505023141805427,0.1024116397371495,0.029276974605021155,0.6668798964305885,0.6813823388561614,5.034024216853805,6.4375,24.625,3,5,28,0.5298,0.1588,"alliances last 5.0s; 28/36 spills are light bumps: movement tax, not ramming; margin vs bail fell from best 0.10 to 0.01; alliance duration fell from best 51.4s to 5.0s; spills rose from 7.2 to 24.6"
